CODIGO;ELEVACION;CUENCA
11060030;120;194
11070070;950;195
11070080;495;195
11070090;2595;195
11070100;1210;195
11070110;960;195
11070120;1920;195
11070140;460;195
11070150;800;195
11070160;820;195
11070170;1870;195
11070180;810;195
11110020;1920;191
11110050;1930;191
14010010;320;307
15010300;45;312
15060090;220;202
15060210;95;202
17010010;80;1
21010250;2222;86
21050300;1350;17
21080080;1800;18
21080110;1000;18
21100070;1750;20
21110400;1160;22
21110430;1060;22
21190030;1635;46
21200260;3062;47
21200270;2640;47
21200370;3000;47
21200380;3000;47
21200400;3000;47
21200430;2700;47
21200510;2618;47
21200600;2800;47
21200740;2655;47
21200800;2700;47
21200850;2880;47
21200870;1620;47
21200880;3140;47
21200910;730;47
21200960;2960;47
21201030;3080;147
21201060;3160;47
21201150;2580;47
21201330;2950;47
21201340;2540;47
21201380;3150;47
21201560;2580;47
21201590;2590;47
21201630;2600;47
21201640;2745;47
21201660;2607;47
21201670;2780;47
21201680;2900;89
21201690;2950;47
21201700;2850;47
21201710;2675;47
21201720;2890;47
21201770;1110;47
21201780;2000;47
21201790;1150;47
21201800;1050;47
21201810;450;50
21201820;2450;47
21201870;2600;47
21201960;2580;47
21201980;3316;47
21202010;3100;47
21202020;2800;47
21202110;2572;47
21210020;1765;51
21210030;1602;51
21210080;1482;51
21210110;2170;51
21210120;1965;51
21210180;1991;51
21210190;1250;49
21210220;2200;51
22050040;468;43
22050060;215;36
23050190;1500;65
23050340;1550;65
23060280;880;299
23080080;260;83
23080210;2150;83
23080220;2170;83
23080230;2495;83
23080240;2510;83
23080250;2190;83
23080260;2250;83
23080270;2070;83
23080340;2070;83
23080390;2100;83
23080440;1980;83
23080450;1730;83
23080460;1100;83
23080470;1500;83
23080510;1080;83
23080570;1110;83
23080610;1040;83
23080620;600;66
23080690;1050;83
23080700;2070;83
23080710;1460;83
23080810;1950;83
23080860;1350;83
23080870;1100;83
23080890;850;83
23080900;1000;83
23100090;1260;87
23100100;730;87
23100110;1220;87
23125130;935;88
23190590;925;93
23190700;10;93
23190720;950;93
23190730;1100;93
23190790;940;93
24010020;2960;89
24010150;2590;89
24010260;2320;89
24010270;2575;89
24010280;2585;89
24010330;2550;89
24010350;2900;89
24010380;2810;89
24010390;2879;89
24010430;2550;89
24010680;2145;89
24010830;2985;89
24020040;1814;69
24030120;2678;68
24030350;2540;68
24030370;380;68
24030820;2780;68
24030940;2500;68
24030950;2237;68
25020480;25;82
26020420;1840;103
26050110;956;308
26050120;1676;16
26050150;1056;308
26050240;1505;16
26050310;1180;308
26050320;1705;308
26070620;2380;7
26080030;2040;306
26080110;1000;308
26080120;1053;306
26080140;2158;306
26080180;1649;306
26080230;1511;13
26080300;985;308
26080390;1864;306
26090770;1800;9
26090790;960;10
26100330;920;76
26110230;933;23
26120100;2040;53
26120250;1700;53
26120380;2000;53
26120670;1150;53
26120680;1410;53
26130160;1250;24
26130230;1450;24
26130350;1700;24
26130530;1400;24
26140320;1400;45
26180080;2415;64
26180090;2110;64
26180180;2180;64
26190110;1950;57
26190150;990;57
26190160;1790;198
26190170;2850;45
26190180;1225;57
26190190;2100;57
26190200;2270;54
26220110;530;70
26230090;2525;71
26230160;1440;71
26230200;10;71
27010100;130;77
27010130;220;77
27010310;390;77
27010340;2455;77
27010350;2353;77
27010360;1875;77
27010370;2422;77
27010380;2000;77
27010420;2120;77
27010450;1690;77
27010460;1890;77
27010470;1549;77
27010480;1345;77
27010510;2500;77
27010530;2240;77
27010550;2630;77
27010580;2435;77
27010590;2750;78
27010660;1080;77
27010690;1530;77
27010700;2120;77
27010710;2950;77
27010720;2675;77
27010730;2620;77
27010760;2150;77
27010910;340;77
27010930;1770;77
27010940;1740;77
27010950;2220;77
27010980;722;72
27010990;1600;77
27011000;1780;77
27011010;2750;71
27011020;1600;77
27011050;390;77
27011060;1790;77
27011070;2350;78
27011080;1925;77
27020080;900;78
27020090;2430;78
27020130;2560;78
27020140;2015;78
27020200;2400;78
27020240;650;78
27020290;2630;78
27020310;2240;71
27020350;1100;78
27020380;1800;78
29030040;60;96
29030150;70;102
29030510;60;102
29030570;100;102
29040240;100;96
35020020;10;147
35020050;2850;147
35020240;1950;147
35020260;1575;147
35020310;2800;147
35030010;1800;142
35030030;425;142
35030040;550;142
35030080;2100;147
35060100;1650;145
35070010;2360;42
35070080;1700;42
35070110;1580;42
35070180;850;42
35070190;1850;42
35070230;1815;42
35070260;1954;42
35070480;1854;128
35070520;1780;42
35070550;1830;42
35080050;1350;128
35190010;3400;310
35190030;180;140
35220030;130;126
35230030;350;118
38010040;60;106
38010050;100;106
38020030;85;134
44010040;2300;260
44010100;1510;260
47010020;270;262
51020010;950;253
52010050;1500;244
52010070;1500;244
52010100;916;243
52020090;1880;244
52020140;1735;244
53100050;630;313
53100130;339;313
53100150;660;13
54030040;1550;211
