codigo,cuenca,variable
16025010,166,TMN_CON
16025040,166,TMN_CON
21015030,86,TMN_CON
24025030,89,TMN_CON
26175030,54,TMN_CON
37015020,37,TMN_CON
44015030,260,TMN_CON
47015100,262,TMN_CON
11025010,198,TMN_CON
11045010,311,TMN_CON
16015030,167,TMN_CON
21115060,22,TMN_CON
21165010,44,TMN_CON
21185080,49,TMN_CON
23085030,83,TMN_CON
23085160,83,TMN_CON
24015250,89,TMN_CON
24015280,89,TMN_CON
24055040,89,TMN_CON
26025090,4,TMN_CON
26025100,5,TMN_CON
26175040,71,TMN_CON
47015040,262,TMN_CON
52055030,303,TMN_CON
52055060,303,TMN_CON
