CodigoEstacion,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
13067020,0,0,0,0,0,0,0,0,0,0,217,366,365,365,365,152
14019030,0,0,0,0,63,365,365,366,365,365,365,366,365,365,365,152
15067050,0,0,0,0,0,0,34,90,0,0,0,0,0,0,0,0
16017030,0,0,324,366,365,365,365,132,0,0,0,0,0,0,0,0
16057030,0,97,365,366,365,365,365,366,365,365,365,366,365,365,365,78
21017040,0,324,365,366,365,365,365,366,365,19,0,0,0,0,0,0
21047010,0,291,365,351,0,0,0,0,0,0,0,0,0,0,0,0
21057050,0,83,365,366,365,365,365,366,365,365,365,366,365,365,365,152
21087080,0,12,365,366,365,365,365,366,365,365,365,366,365,365,365,152
21097070,0,318,365,366,365,365,365,366,365,365,365,366,365,365,365,80
21137010,0,0,0,0,0,0,0,241,365,365,365,366,365,365,365,152
21137050,0,0,0,0,0,0,103,366,365,365,365,366,365,365,365,152
21167060,0,0,0,0,0,0,0,0,87,365,365,366,365,365,365,98
21167080,217,365,365,366,365,365,365,366,365,365,365,366,365,365,365,45
21197010,365,365,365,366,365,365,365,366,365,365,365,366,365,365,365,98
21217180,0,0,0,0,0,0,0,0,333,365,365,366,365,365,365,22
21237020,0,0,0,0,0,0,61,366,365,365,365,366,365,365,365,152
21257120,256,365,365,366,365,365,365,366,365,365,365,366,365,365,262,0
22057010,322,365,365,366,365,365,365,366,365,365,365,366,365,365,365,113
23017040,0,0,0,0,0,0,0,0,0,247,365,366,365,365,365,27
23037010,275,365,365,366,365,365,365,366,365,365,365,366,365,365,365,98
23057140,0,165,365,366,365,365,365,366,247,0,0,0,0,0,0,0
23067060,0,0,0,0,0,0,0,0,0,111,365,366,365,365,365,115
23087210,0,0,209,366,365,365,365,366,365,365,365,366,365,365,365,152
23097030,0,0,0,0,0,0,0,0,0,0,0,0,364,365,365,152
23127020,0,0,0,0,252,365,365,366,365,365,365,366,365,365,365,42
23157030,0,0,198,366,365,365,365,366,365,365,365,366,365,248,0,0
23197690,0,0,0,0,0,0,365,366,365,365,365,366,365,365,215,0
23207040,0,0,0,0,0,0,0,0,0,0,0,80,365,365,365,152
25017010,0,0,0,0,0,0,0,0,0,0,0,0,365,365,365,109
25017020,0,0,0,0,0,0,0,0,0,0,0,0,364,365,365,38
25027020,0,0,0,0,0,0,0,0,0,0,0,0,365,8,0,0
25027200,0,0,0,0,0,0,0,0,0,0,0,0,364,365,365,152
26057030,0,0,0,0,0,0,0,0,0,0,0,0,331,365,365,152
26127010,0,0,0,0,0,0,0,0,0,0,0,0,347,365,365,152
26127040,0,0,0,0,0,0,0,0,0,0,0,0,364,365,365,152
26137220,0,0,0,0,0,0,0,0,0,0,0,0,365,365,365,125
26177030,0,0,0,0,0,0,0,0,0,0,0,9,365,365,352,0
26207080,0,0,0,0,0,0,0,0,0,0,0,0,365,365,365,152
26237040,0,0,0,0,0,0,0,0,0,0,0,0,365,365,365,152
26247020,0,0,0,0,0,0,0,0,0,0,0,0,347,365,365,152
26247050,0,0,0,0,0,0,0,0,0,0,0,0,365,365,365,152
27037010,0,0,0,0,0,0,0,0,0,0,0,0,347,365,10,0
27037030,0,0,0,0,0,0,0,0,0,0,0,0,347,365,345,0
29047070,0,0,0,0,0,0,0,0,0,0,0,0,365,365,365,152
35017020,0,0,0,0,0,0,0,0,0,0,0,0,365,365,365,102
35037100,0,0,0,0,0,0,0,0,0,0,0,0,365,365,365,101
37057020,0,0,0,0,0,0,0,0,0,0,0,0,311,365,365,152
42077020,0,0,0,0,0,0,0,0,0,0,0,0,364,365,365,152
44037040,0,0,0,0,0,0,0,0,0,0,0,0,364,365,365,152
51027060,0,0,0,0,0,0,0,0,0,0,0,0,365,365,365,110
52077010,0,0,0,0,0,0,0,0,0,0,0,0,365,365,365,152
54017040,0,0,0,0,0,0,0,0,0,0,0,0,365,365,365,139
