basin,RMSE,MAPE,sMAPE,epochs,batch_size
1,0.4306475533939688,13.898154340058042,6.510947866680914,79,24
2,12.60645082680454,49.572767781856506,26.304384693038756,37,12
3,49.692315818648474,21.46055860824301,11.49182469556389,39,12
4,1.9991996101106904,30.313123574138938,18.839157874340597,44,12
5,15.60160463909335,22.317389196840733,12.290797375231126,52,12
6,13.216448764953215,31.2727355521291,15.006944041557846,80,12
7,68.17439625537675,25.300016529179263,12.097111036797891,35,12
8,15.84157294787712,27.16981542437801,16.04304896678009,35,12
9,6.093756713662973,53.38621750022951,25.377400492561154,32,12
10,8.417383281650226,37.98661560814409,24.72605391176306,32,12
11,7.206325360930544,36.4380779289353,15.944589479479573,28,12
12,13.40107701933531,64.22828565564444,23.40483385156213,47,12
13,97.79331788174123,27.64558041817104,14.537503904833224,42,12
14,32.76399564169217,31.074059001266285,16.904185057812814,42,12
15,35.30341080919132,49.03917143467102,24.89103259745381,39,12
16,115.38515328956385,21.962131941663365,10.077296990604708,88,12
17,2.079280894424585,15.414091336118933,7.754910354795612,99,24
18,13.960951672312168,18.611576787761855,8.652882605979585,20,24
19,7.117718900008221,98.25359809786835,46.91267990862411,60,12
20,43.22408420534296,34.588353935413735,16.974691716269007,50,12
21,2.443383945997558,22.100858642179823,12.285092737012073,36,12
22,93.62379979979373,80.16855419918443,34.672249573580906,36,12
23,55.672097518925554,60.34205618537932,23.454955399185824,99,60
24,18.28663147282123,77.65289012565374,58.63928306262577,23,12
25,4.429466315869556,43.155542825030494,29.712235266514014,26,12
26,215.5683873115811,289.33943666039744,56.58373433078471,42,12
27,16.93755190456288,81.64834661772596,39.40255473338365,28,12
28,32.216338996206126,35.87987606966896,20.46769123645263,59,12
29,7.390208940467624,11.288661672013522,6.053592730499583,38,12
30,5.712364100136931,60.83007343132786,34.6738639625578,73,72
31,2.1494156544019174,21.681070940905546,9.57889402223449,96,24
32,9.036427431335534,27.346436011802684,11.855138376008727,38,12
33,1.1214103771647637,20.05478246416853,9.748225089174262,62,36
34,75.86387358605727,24.494410798898745,10.239556318875556,37,12
35,156.08119866333595,37.53111975381789,22.72194688041873,35,12
36,58.592370705135316,71.007440618092,24.84546767042534,57,12
37,56.19373267911316,61.38480214257031,29.195087425312433,34,12
38,12.028966294451516,15.46657695312815,8.55806834486758,29,12
39,247.43424068443892,44.38761247784298,21.89169823613178,99,60
40,502.3562576535357,50.37034847861097,23.050551186423622,79,60
41,847.5076882255994,39.14276214201115,20.667374582085884,59,12
42,308.2482348242,57.51447313670578,15.341589689166799,50,36
43,354.7826547143633,32.196660358119615,16.0984921681705,51,12
44,749.0894796435307,24.192382383975218,12.786249971200977,43,12
45,535.0612484044476,64.3164892222021,30.00052465199698,48,24
46,919.480308527809,81.91442290817322,21.598701157605152,90,12
47,715.7203412978495,44.43730117385833,18.571832457807712,99,24
48,794.5485712819404,25.945976441319925,11.27058707723167,99,24
